證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4916,事欣科,"193,000","5,166,600",26.70,27.00,26.50,26.85,+0.15,109
4919,新唐,"2,392,000","90,034,800",37.35,38.10,36.50,38.10,+0.80,"1,539"
4927,泰鼎-KY,"8,092,000","575,586,500",70.80,72.50,69.60,72.50,+2.80,"4,514"
4930,燦星網,"111,000","1,092,160",9.64,10.10,9.64,10.10,+0.49,49
4934,太極,"4,199,000","72,248,450",16.65,17.70,16.55,17.60,+0.90,"1,759"
4935,茂林-KY,"11,409,000","1,623,869,500",138.50,148.00,136.00,142.50,+7.00,"7,716"
4938,和碩,"6,380,000","390,341,600",61.10,61.70,60.50,61.50,+0.80,"3,088"
4942,嘉彰,"117,000","3,920,350",33.85,33.85,33.15,33.75,+0.25,91
4943,康控-KY,"1,127,000","131,697,500",119.00,119.50,114.50,117.50, 0.00,927
4952,凌通,"109,000","3,155,750",29.35,29.35,28.70,29.00,-0.25,89
4956,光鋐,"6,606,000","125,157,750",19.70,19.90,18.20,19.20,-0.85,"3,238"
4958,臻鼎-KY,"6,221,000","714,982,500",113.00,117.50,110.00,117.00,+5.00,"4,037"
4960,誠美材,"1,304,000","7,697,720",5.96,6.03,5.85,5.87,-0.13,439
4961,天鈺,"436,000","11,754,800",27.20,27.45,26.60,27.15,+0.05,274
4967,十銓,"2,843,000","115,135,300",40.90,41.20,39.70,40.90,+0.10,"1,665"
4968,立積,"4,075,000","587,757,000",145.00,147.50,139.50,147.00,+3.00,"2,959"
4976,佳凌,"201,000","3,575,150",17.95,18.15,17.50,17.95, 0.00,116
4977,眾達-KY,"3,356,000","422,522,500",123.00,129.50,119.50,128.00,+6.50,"2,283"
4989,榮科,"76,000","1,466,600",19.30,19.50,19.20,19.30, 0.00,56
4994,傳奇,"154,000","9,455,100",62.60,63.00,60.30,62.30,+0.10,130
4999,鑫禾,"56,000","2,252,600",40.15,40.45,39.95,40.35,+0.25,36
5007,三星,"16,000","711,150",44.40,44.70,44.35,44.70, 0.00,13
5203,訊連,"432,000","49,982,500",115.50,117.50,114.00,116.50,+1.00,303
5215,科嘉-KY,"2,855,000","254,108,000",87.50,89.60,86.30,89.60,+8.10,"1,342"
5225,東科-KY,"375,000","9,077,150",24.70,24.80,23.90,24.75, 0.00,216
5234,達興材料,"373,000","32,876,200",86.70,89.30,86.30,88.90,+2.50,283
5243,乙盛-KY,"462,000","14,021,000",30.85,30.85,29.95,30.50,-0.05,268
5258,虹堡,"227,000","5,457,800",23.70,24.50,23.35,24.00,+0.35,142
5264,鎧勝-KY,"677,000","28,823,550",42.60,43.30,42.00,43.10,+0.70,453
5269,祥碩,"967,000","1,131,810,000","1,190.00","1,205.00","1,145.00","1,170.00", 0.00,927
5283,禾聯碩,"80,000","7,870,800",98.80,98.80,97.80,98.70,-0.20,64
5284,jpp-KY,"103,000","4,180,700",40.50,41.20,40.00,40.35,-0.15,72
5285,界霖,"121,000","5,023,000",41.75,42.00,41.00,41.80,+0.25,84
5288,豐祥-KY,"255,000","24,495,600",95.40,97.50,93.80,97.20,+2.20,204
5305,敦南,"408,000","16,960,700",41.65,41.75,41.45,41.45,-0.15,264
5388,中磊,"1,093,000","80,258,400",73.10,74.30,72.40,73.60,+1.20,787
5434,崇越,"857,000","89,279,500",104.50,105.00,103.00,105.00,+0.50,596
5469,瀚宇博,"2,865,000","103,710,300",36.30,36.70,35.85,36.40,+0.05,"1,552"
5471,松翰,"7,366,000","422,039,400",58.00,58.10,56.30,57.80,+0.70,"4,388"
5484,慧友,"25,000","200,540",8.00,8.05,8.00,8.05,-0.08,6
5515,建國,"206,000","2,092,150",10.20,10.25,10.05,10.25,+0.05,74
5519,隆大,"1,349,000","20,288,500",14.90,15.20,14.75,15.10,+0.25,486
5521,工信,"1,701,000","14,295,020",8.32,8.57,8.21,8.46,+0.13,509
5522,遠雄,"960,000","42,237,950",44.20,44.20,43.85,44.00,+0.05,437
5525,順天,"23,000","461,950",20.50,20.50,19.95,20.25,+0.35,20
5531,鄉林,"593,000","4,973,410",8.50,8.50,8.32,8.46,-0.02,207
5533,皇鼎,"46,000","703,750",14.95,15.35,14.95,15.35, 0.00,20
5534,長虹,"712,000","59,044,700",82.30,83.40,82.30,83.40,+1.10,372
5538,東明-KY,"3,000","86,550",28.85,28.85,28.85,28.85,+0.05,2
5546,永固-KY,"2,129,000","146,247,700",66.10,70.20,66.10,70.00,+4.70,"1,292"
5607,遠雄港,"340,000","7,397,600",21.80,21.90,21.65,21.75,-0.05,181
5608,四維航,"622,000","3,118,930",5.04,5.08,4.98,5.05,+0.01,185
5706,鳳凰,"697,000","23,551,900",31.75,34.40,31.75,34.40,+3.10,406
5871,中租-KY,"5,229,000","595,174,500",113.00,115.50,111.00,115.50,+4.00,"2,680"
5876,上海商銀,"6,015,000","250,864,150",42.55,42.60,41.35,41.75,-0.80,"2,790"
5880,合庫金,"10,949,000","218,418,700",20.05,20.10,19.85,20.00, 0.00,"3,015"
5906,台南-KY,"13,000","221,700",17.20,17.20,16.95,17.00,+0.15,8
5907,大洋-KY,"205,000","4,947,750",23.95,24.50,23.70,24.40,+0.65,145
6005,群益證,"1,310,000","12,872,280",9.83,9.93,9.79,9.86,+0.04,617
6024,群益期,"152,000","5,831,200",38.50,38.70,38.15,38.60,+0.10,100
6108,競國,"355,000","7,324,450",20.70,20.85,20.50,20.85,+0.15,137
6112,聚碩,"904,000","36,088,300",39.80,40.25,39.60,40.00,+0.10,489
6115,鎰勝,"69,000","2,986,550",43.35,43.50,43.15,43.30,-0.05,51
